Method,Label,Model,Category,Precision,Recall,F1,LabelThreshold,HistThreshold
model,head,juvenile,mature,0.286,0.333,0.307715670436,0.28,0.3
graph,tail,juvenile,mature,0.0,0.0,0,0.28,0.3
graph,back,juvenile,mature,0.0,0.0,0,0.28,0.3
graph,body,juvenile,mature,1.0,1.0,1.0,0.28,0.3
graph,head,juvenile,mature,0.286,0.333,0.307715670436,0.28,0.3
model,back,juvenile,juvenile,1.0,1.0,1.0,0.28,0.3
model,head,juvenile,juvenile,1.0,1.0,1.0,0.28,0.3
model,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.28,0.3
model,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.28,0.3
model,tail,juvenile,juvenile,0.889,0.889,0.889,0.28,0.3
model,body,juvenile,juvenile,1.0,1.0,1.0,0.28,0.3
graph,back,juvenile,juvenile,1.0,1.0,1.0,0.28,0.3
graph,head,juvenile,juvenile,1.0,1.0,1.0,0.28,0.3
graph,arm,juvenile,juvenile,1.0,0.6,0.75,0.28,0.3
graph,claw,juvenile,juvenile,0.9,0.5,0.642857142857,0.28,0.3
graph,tail,juvenile,juvenile,1.0,1.0,1.0,0.28,0.3
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.28,0.3
model,arm,juvenile,mature,0.75,0.6,0.666666666667,0.28,0.3
model,claw,juvenile,mature,0.333,0.2,0.24990619137,0.28,0.3
graph,claw,juvenile,mature,0.333,0.2,0.24990619137,0.28,0.3
graph,arm,juvenile,mature,0.625,0.5,0.555555555556,0.28,0.3
model,arm,mature,mature,0.462,0.5,0.480249480249,0.17,0.5
model,tail,mature,mature,0.833,0.833,0.833,0.17,0.5
model,back,mature,mature,0.333,0.4,0.36343792633,0.17,0.5
model,claw,mature,mature,0.667,0.364,0.470975751697,0.17,0.5
model,body,mature,mature,1.0,1.0,1.0,0.17,0.5
model,head,mature,mature,0.333,0.333,0.333,0.17,0.5
graph,arm,mature,mature,0.5,0.5,0.5,0.17,0.5
graph,back,mature,mature,0.571,0.8,0.666374908826,0.17,0.5
graph,claw,mature,mature,0.667,0.364,0.470975751697,0.17,0.5
graph,body,mature,mature,1.0,1.0,1.0,0.17,0.5
graph,head,mature,mature,0.333,0.333,0.333,0.17,0.5
model,arm,mature,juvenile,0.5,0.6,0.545454545455,0.17,0.5
model,tail,mature,juvenile,0.667,0.667,0.667,0.17,0.5
model,back,mature,juvenile,0.111,0.167,0.13335971223,0.17,0.5
model,claw,mature,juvenile,0.625,0.333,0.434498956159,0.17,0.5
model,body,mature,juvenile,1.0,1.0,1.0,0.17,0.5
model,head,mature,juvenile,0.7,0.7,0.7,0.17,0.5
graph,arm,mature,juvenile,0.435,0.5,0.465240641711,0.17,0.5
graph,back,mature,juvenile,0.111,0.167,0.13335971223,0.17,0.5
graph,claw,mature,juvenile,0.5,0.267,0.348109517601,0.17,0.5
graph,body,mature,juvenile,1.0,1.0,1.0,0.17,0.5
graph,head,mature,juvenile,0.8,0.8,0.8,0.17,0.5
graph,tail,mature,mature,1.0,1.0,1.0,0.17,0.5
graph,tail,mature,juvenile,1.0,1.0,1.0,0.17,0.5
model,arm,juvenile,mature,0.667,0.5,0.571550985433,0.17,0.5
model,tail,juvenile,mature,0.75,0.75,0.75,0.17,0.5
model,claw,juvenile,mature,0.25,0.143,0.181933842239,0.17,0.5
model,body,juvenile,mature,1.0,1.0,1.0,0.17,0.5
model,head,juvenile,mature,0.333,0.333,0.333,0.17,0.5
graph,body,juvenile,mature,1.0,1.0,1.0,0.17,0.5
graph,head,juvenile,mature,0.333,0.333,0.333,0.17,0.5
graph,tail,juvenile,mature,0.0,0.0,0,0.17,0.5
graph,back,juvenile,mature,0.0,0.0,0,0.17,0.5
model,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.17,0.5
model,tail,juvenile,juvenile,0.889,0.889,0.889,0.17,0.5
model,back,juvenile,juvenile,0.75,0.75,0.75,0.17,0.5
model,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.17,0.5
model,body,juvenile,juvenile,1.0,1.0,1.0,0.17,0.5
model,head,juvenile,juvenile,0.9,0.9,0.9,0.17,0.5
graph,arm,juvenile,juvenile,1.0,0.65,0.787878787879,0.17,0.5
graph,tail,juvenile,juvenile,0.857,0.857,0.857,0.17,0.5
graph,back,juvenile,juvenile,0.625,1.0,0.769230769231,0.17,0.5
graph,claw,juvenile,juvenile,1.0,0.563,0.72040946897,0.17,0.5
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.17,0.5
graph,head,juvenile,juvenile,0.9,0.9,0.9,0.17,0.5
graph,arm,juvenile,mature,0.75,0.6,0.666666666667,0.17,0.5
graph,claw,juvenile,mature,0.667,0.4,0.500093720712,0.17,0.5
model,back,juvenile,mature,0.0,0.0,0,0.17,0.5
model,tail,mature,mature,0.833,0.833,0.833,0.20,0.3
model,body,mature,mature,1.0,1.0,1.0,0.20,0.3
model,arm,mature,mature,0.455,0.417,0.435172018349,0.20,0.3
model,back,mature,mature,0.0,0.0,0,0.20,0.3
model,claw,mature,mature,0.833,0.455,0.588532608696,0.20,0.3
model,head,mature,mature,0.333,0.333,0.333,0.20,0.3
graph,body,mature,mature,1.0,1.0,1.0,0.20,0.3
graph,arm,mature,mature,0.5,0.417,0.454743729553,0.20,0.3
graph,back,mature,mature,0.5,0.5,0.5,0.20,0.3
graph,claw,mature,mature,0.833,0.455,0.588532608696,0.20,0.3
graph,head,mature,mature,0.333,0.333,0.333,0.20,0.3
model,body,mature,juvenile,0.9,0.9,0.9,0.20,0.3
model,arm,mature,juvenile,0.5,0.55,0.52380952381,0.20,0.3
model,back,mature,juvenile,0.0,0.0,0,0.20,0.3
model,claw,mature,juvenile,0.5,0.267,0.348109517601,0.20,0.3
model,head,mature,juvenile,0.6,0.6,0.6,0.20,0.3
graph,body,mature,juvenile,0.909,1.0,0.952331063384,0.20,0.3
graph,arm,mature,juvenile,0.435,0.5,0.465240641711,0.20,0.3
graph,back,mature,juvenile,0.0,0.0,0,0.20,0.3
graph,claw,mature,juvenile,0.5,0.267,0.348109517601,0.20,0.3
graph,head,mature,juvenile,0.7,0.7,0.7,0.20,0.3
model,tail,mature,juvenile,1.0,1.0,1.0,0.20,0.3
model,tail,juvenile,mature,0.75,0.75,0.75,0.20,0.3
model,body,juvenile,mature,1.0,1.0,1.0,0.20,0.3
model,arm,juvenile,mature,0.667,0.5,0.571550985433,0.20,0.3
model,claw,juvenile,mature,0.25,0.143,0.181933842239,0.20,0.3
model,head,juvenile,mature,0.333,0.333,0.333,0.20,0.3
graph,back,juvenile,mature,0.0,0.0,0,0.20,0.3
graph,tail,juvenile,mature,0.0,0.0,0,0.20,0.3
graph,head,juvenile,mature,0.333,0.333,0.333,0.20,0.3
graph,body,juvenile,mature,1.0,1.0,1.0,0.20,0.3
model,tail,juvenile,juvenile,0.889,0.889,0.889,0.20,0.3
model,body,juvenile,juvenile,1.0,1.0,1.0,0.20,0.3
model,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.20,0.3
model,back,juvenile,juvenile,0.75,0.75,0.75,0.20,0.3
model,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.20,0.3
model,head,juvenile,juvenile,0.9,0.9,0.9,0.20,0.3
graph,tail,juvenile,juvenile,1.0,1.0,1.0,0.20,0.3
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.20,0.3
graph,arm,juvenile,juvenile,1.0,0.65,0.787878787879,0.20,0.3
graph,back,juvenile,juvenile,0.714,1.0,0.833138856476,0.20,0.3
graph,claw,juvenile,juvenile,0.9,0.5,0.642857142857,0.20,0.3
graph,head,juvenile,juvenile,0.9,0.9,0.9,0.20,0.3
graph,arm,juvenile,mature,0.75,0.6,0.666666666667,0.20,0.3
graph,claw,juvenile,mature,0.667,0.4,0.500093720712,0.20,0.3
model,back,juvenile,mature,0.0,0.0,0,0.20,0.3
model,back,mature,mature,0.333,0.4,0.36343792633,0.13,0.5
model,head,mature,mature,0.333,0.333,0.333,0.13,0.5
model,claw,mature,mature,0.667,0.364,0.470975751697,0.13,0.5
model,arm,mature,mature,0.462,0.5,0.480249480249,0.13,0.5
model,tail,mature,mature,0.833,0.833,0.833,0.13,0.5
model,body,mature,mature,1.0,1.0,1.0,0.13,0.5
graph,back,mature,mature,0.556,1.0,0.714652956298,0.13,0.5
graph,head,mature,mature,0.333,0.333,0.333,0.13,0.5
graph,claw,mature,mature,0.667,0.364,0.470975751697,0.13,0.5
graph,arm,mature,mature,0.417,0.417,0.417,0.13,0.5
graph,tail,mature,mature,0.833,0.833,0.833,0.13,0.5
graph,body,mature,mature,1.0,1.0,1.0,0.13,0.5
model,back,mature,juvenile,0.111,0.167,0.13335971223,0.13,0.5
model,head,mature,juvenile,0.636,0.7,0.666467065868,0.13,0.5
model,claw,mature,juvenile,0.625,0.333,0.434498956159,0.13,0.5
model,arm,mature,juvenile,0.48,0.6,0.533333333333,0.13,0.5
model,tail,mature,juvenile,0.4,0.4,0.4,0.13,0.5
model,body,mature,juvenile,1.0,1.0,1.0,0.13,0.5
graph,back,mature,juvenile,0.111,0.167,0.13335971223,0.13,0.5
graph,claw,mature,juvenile,0.429,0.231,0.3003,0.13,0.5
graph,head,mature,juvenile,0.8,0.8,0.8,0.13,0.5
graph,arm,mature,juvenile,0.44,0.55,0.488888888889,0.13,0.5
graph,body,mature,juvenile,1.0,1.0,1.0,0.13,0.5
graph,tail,mature,juvenile,0.5,0.5,0.5,0.13,0.5
model,claw,juvenile,mature,0.25,0.143,0.181933842239,0.13,0.5
model,head,juvenile,mature,0.333,0.333,0.333,0.13,0.5
model,arm,juvenile,mature,0.667,0.5,0.571550985433,0.13,0.5
model,tail,juvenile,mature,0.75,0.75,0.75,0.13,0.5
model,body,juvenile,mature,1.0,1.0,1.0,0.13,0.5
graph,tail,juvenile,mature,0.0,0.0,0,0.13,0.5
graph,back,juvenile,mature,0.0,0.0,0,0.13,0.5
graph,head,juvenile,mature,0.333,0.333,0.333,0.13,0.5
graph,body,juvenile,mature,1.0,1.0,1.0,0.13,0.5
model,back,juvenile,juvenile,0.75,0.75,0.75,0.13,0.5
model,head,juvenile,juvenile,0.9,0.9,0.9,0.13,0.5
model,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.13,0.5
model,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.13,0.5
model,tail,juvenile,juvenile,0.889,0.889,0.889,0.13,0.5
model,body,juvenile,juvenile,1.0,1.0,1.0,0.13,0.5
graph,back,juvenile,juvenile,0.625,1.0,0.769230769231,0.13,0.5
graph,head,juvenile,juvenile,0.9,0.9,0.9,0.13,0.5
graph,claw,juvenile,juvenile,1.0,0.563,0.72040946897,0.13,0.5
graph,arm,juvenile,juvenile,1.0,0.65,0.787878787879,0.13,0.5
graph,tail,juvenile,juvenile,0.857,0.857,0.857,0.13,0.5
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.13,0.5
graph,claw,juvenile,mature,0.667,0.4,0.500093720712,0.13,0.5
graph,arm,juvenile,mature,0.75,0.6,0.666666666667,0.13,0.5
model,back,juvenile,mature,0.0,0.0,0,0.13,0.5
model,arm,mature,mature,0.444,0.333,0.380571428571,0.30,0.5
model,claw,mature,mature,0.667,0.364,0.470975751697,0.30,0.5
model,head,mature,mature,0.333,0.333,0.333,0.30,0.5
model,body,mature,mature,1.0,1.0,1.0,0.30,0.5
graph,arm,mature,mature,0.444,0.333,0.380571428571,0.30,0.5
graph,claw,mature,mature,0.667,0.364,0.470975751697,0.30,0.5
graph,head,mature,mature,0.333,0.333,0.333,0.30,0.5
graph,body,mature,mature,1.0,1.0,1.0,0.30,0.5
model,arm,mature,juvenile,0.571,0.6,0.585140905209,0.30,0.5
model,claw,mature,juvenile,0.625,0.333,0.434498956159,0.30,0.5
model,head,mature,juvenile,0.7,0.7,0.7,0.30,0.5
model,body,mature,juvenile,1.0,1.0,1.0,0.30,0.5
graph,arm,mature,juvenile,0.524,0.55,0.536685288641,0.30,0.5
graph,claw,mature,juvenile,0.625,0.333,0.434498956159,0.30,0.5
graph,head,mature,juvenile,0.8,0.8,0.8,0.30,0.5
graph,body,mature,juvenile,1.0,1.0,1.0,0.30,0.5
model,tail,mature,mature,1.0,1.0,1.0,0.30,0.5
model,head,juvenile,mature,0.333,0.333,0.333,0.30,0.5
model,body,juvenile,mature,1.0,1.0,1.0,0.30,0.5
model,tail,juvenile,mature,0.75,0.75,0.75,0.30,0.5
graph,head,juvenile,mature,0.333,0.333,0.333,0.30,0.5
graph,body,juvenile,mature,1.0,1.0,1.0,0.30,0.5
graph,tail,juvenile,mature,0.0,0.0,0,0.30,0.5
model,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.30,0.5
model,head,juvenile,juvenile,1.0,1.0,1.0,0.30,0.5
model,tail,juvenile,juvenile,0.889,0.889,0.889,0.30,0.5
model,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.30,0.5
model,body,juvenile,juvenile,1.0,1.0,1.0,0.30,0.5
graph,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.30,0.5
graph,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.30,0.5
graph,head,juvenile,juvenile,1.0,1.0,1.0,0.30,0.5
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.30,0.5
model,claw,juvenile,mature,0.333,0.2,0.24990619137,0.30,0.5
model,arm,juvenile,mature,0.75,0.6,0.666666666667,0.30,0.5
graph,arm,juvenile,mature,0.75,0.6,0.666666666667,0.30,0.5
graph,claw,juvenile,mature,0.333,0.2,0.24990619137,0.30,0.5
model,back,juvenile,mature,0.0,0.0,0,0.30,0.5
graph,back,juvenile,mature,0.0,0.0,0,0.30,0.5
model,back,mature,mature,0.222,0.333,0.2664,0.07,0.3
model,body,mature,mature,0.9,1.0,0.947368421053,0.07,0.3
model,head,mature,mature,0.3,0.375,0.333333333333,0.07,0.3
model,arm,mature,mature,0.421,0.444,0.432194219653,0.07,0.3
model,claw,mature,mature,0.778,0.438,0.560467105263,0.07,0.3
graph,back,mature,mature,0.462,1.0,0.632010943912,0.07,0.3
graph,tail,mature,mature,0.857,0.857,0.857,0.07,0.3
graph,body,mature,mature,0.9,1.0,0.947368421053,0.07,0.3
graph,head,mature,mature,0.222,0.25,0.235169491525,0.07,0.3
graph,arm,mature,mature,0.263,0.278,0.270292051756,0.07,0.3
graph,claw,mature,mature,0.667,0.375,0.480086372361,0.07,0.3
model,back,mature,juvenile,0.091,0.167,0.11780620155,0.07,0.3
model,tail,mature,juvenile,0.25,0.25,0.25,0.07,0.3
model,body,mature,juvenile,0.909,1.0,0.952331063384,0.07,0.3
model,head,mature,juvenile,0.545,0.6,0.571179039301,0.07,0.3
model,arm,mature,juvenile,0.448,0.65,0.530418943534,0.07,0.3
model,claw,mature,juvenile,0.5,0.267,0.348109517601,0.07,0.3
graph,back,mature,juvenile,0.077,0.167,0.105401639344,0.07,0.3
graph,tail,mature,juvenile,0.167,0.167,0.167,0.07,0.3
graph,body,mature,juvenile,0.909,1.0,0.952331063384,0.07,0.3
graph,head,mature,juvenile,0.6,0.6,0.6,0.07,0.3
graph,arm,mature,juvenile,0.4,0.5,0.444444444444,0.07,0.3
graph,claw,mature,juvenile,0.429,0.231,0.3003,0.07,0.3
model,tail,mature,mature,0.857,0.857,0.857,0.07,0.3
model,tail,juvenile,mature,0.8,0.8,0.8,0.07,0.3
model,body,juvenile,mature,1.0,1.0,1.0,0.07,0.3
model,head,juvenile,mature,0.333,0.333,0.333,0.07,0.3
model,arm,juvenile,mature,0.7,0.583,0.636165237724,0.07,0.3
model,claw,juvenile,mature,0.4,0.222,0.285530546624,0.07,0.3
graph,back,juvenile,mature,0.167,0.2,0.182016348774,0.07,0.3
graph,tail,juvenile,mature,0.0,0.0,0,0.07,0.3
graph,head,juvenile,mature,0.333,0.333,0.333,0.07,0.3
graph,body,juvenile,mature,1.0,1.0,1.0,0.07,0.3
model,back,juvenile,juvenile,0.5,0.6,0.545454545455,0.07,0.3
model,tail,juvenile,juvenile,1.0,1.0,1.0,0.07,0.3
model,body,juvenile,juvenile,1.0,1.0,1.0,0.07,0.3
model,head,juvenile,juvenile,0.9,0.9,0.9,0.07,0.3
model,arm,juvenile,juvenile,0.857,0.6,0.705833905285,0.07,0.3
model,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.07,0.3
graph,back,juvenile,juvenile,0.5,0.833,0.624906226557,0.07,0.3
graph,tail,juvenile,juvenile,0.875,1.0,0.933333333333,0.07,0.3
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.07,0.3
graph,head,juvenile,juvenile,0.9,0.9,0.9,0.07,0.3
graph,arm,juvenile,juvenile,0.933,0.7,0.799877526026,0.07,0.3
graph,claw,juvenile,juvenile,1.0,0.563,0.72040946897,0.07,0.3
model,back,juvenile,mature,0.25,0.333,0.285591766724,0.07,0.3
graph,arm,juvenile,mature,0.75,0.6,0.666666666667,0.07,0.3
graph,claw,juvenile,mature,0.667,0.4,0.500093720712,0.07,0.3
model,arm,mature,mature,0.409,0.45,0.428521536671,0.03,0.3
model,tail,mature,mature,0.625,0.625,0.625,0.03,0.3
model,body,mature,mature,0.833,1.0,0.908892525914,0.03,0.3
model,claw,mature,mature,0.7,0.389,0.500091827365,0.03,0.3
model,back,mature,mature,0.2,0.286,0.235390946502,0.03,0.3
model,head,mature,mature,0.182,0.222,0.20001980198,0.03,0.3
graph,arm,mature,mature,0.238,0.25,0.243852459016,0.03,0.3
graph,tail,mature,mature,0.6,0.6,0.6,0.03,0.3
graph,body,mature,mature,0.833,1.0,0.908892525914,0.03,0.3
graph,claw,mature,mature,0.667,0.375,0.480086372361,0.03,0.3
graph,back,mature,mature,0.375,0.857,0.521712662338,0.03,0.3
graph,head,mature,mature,0.2,0.222,0.210426540284,0.03,0.3
model,arm,mature,juvenile,0.414,0.6,0.489940828402,0.03,0.3
model,tail,mature,juvenile,0.222,0.222,0.222,0.03,0.3
model,body,mature,juvenile,0.588,1.0,0.740554156171,0.03,0.3
model,claw,mature,juvenile,0.4,0.222,0.285530546624,0.03,0.3
model,back,mature,juvenile,0.083,0.167,0.110888,0.03,0.3
model,head,mature,juvenile,0.6,0.6,0.6,0.03,0.3
graph,arm,mature,juvenile,0.345,0.5,0.408284023669,0.03,0.3
graph,tail,mature,juvenile,0.111,0.111,0.111,0.03,0.3
graph,body,mature,juvenile,0.714,1.0,0.833138856476,0.03,0.3
graph,claw,mature,juvenile,0.333,0.176,0.230286836935,0.03,0.3
graph,back,mature,juvenile,0.067,0.167,0.0956324786325,0.03,0.3
graph,head,mature,juvenile,0.5,0.5,0.5,0.03,0.3
model,arm,juvenile,mature,0.8,0.667,0.727471029312,0.03,0.3
model,tail,juvenile,mature,0.8,0.8,0.8,0.03,0.3
model,body,juvenile,mature,1.0,1.0,1.0,0.03,0.3
model,claw,juvenile,mature,0.4,0.222,0.285530546624,0.03,0.3
model,back,juvenile,mature,0.2,0.25,0.222222222222,0.03,0.3
model,head,juvenile,mature,0.333,0.333,0.333,0.03,0.3
graph,arm,juvenile,mature,0.778,0.583,0.666530492285,0.03,0.3
graph,tail,juvenile,mature,0.0,0.0,0,0.03,0.3
graph,head,juvenile,mature,0.333,0.333,0.333,0.03,0.3
graph,body,juvenile,mature,1.0,1.0,1.0,0.03,0.3
graph,back,juvenile,mature,0.167,0.2,0.182016348774,0.03,0.3
graph,claw,juvenile,mature,0.5,0.286,0.363867684478,0.03,0.3
model,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.03,0.3
model,tail,juvenile,juvenile,1.0,1.0,1.0,0.03,0.3
model,body,juvenile,juvenile,1.0,1.0,1.0,0.03,0.3
model,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.03,0.3
model,back,juvenile,juvenile,0.5,0.8,0.615384615385,0.03,0.3
model,head,juvenile,juvenile,0.9,0.9,0.9,0.03,0.3
graph,arm,juvenile,juvenile,1.0,0.7,0.823529411765,0.03,0.3
graph,tail,juvenile,juvenile,1.0,1.0,1.0,0.03,0.3
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.03,0.3
graph,claw,juvenile,juvenile,1.0,0.556,0.714652956298,0.03,0.3
graph,back,juvenile,juvenile,0.5,1.0,0.666666666667,0.03,0.3
graph,head,juvenile,juvenile,0.9,0.9,0.9,0.03,0.3
model,body,mature,juvenile,1.0,1.0,1.0,0.75,0.7
model,arm,mature,juvenile,0.556,0.417,0.476571428571,0.75,0.7
graph,body,mature,juvenile,1.0,1.0,1.0,0.75,0.7
graph,arm,mature,juvenile,0.556,0.417,0.476571428571,0.75,0.7
model,body,mature,mature,1.0,1.0,1.0,0.75,0.7
model,claw,mature,mature,0.75,0.429,0.545801526718,0.75,0.7
model,arm,mature,mature,0.5,0.3,0.375,0.75,0.7
graph,body,mature,mature,1.0,1.0,1.0,0.75,0.7
graph,claw,mature,mature,0.75,0.429,0.545801526718,0.75,0.7
graph,arm,mature,mature,0.5,0.3,0.375,0.75,0.7
model,claw,mature,juvenile,0.4,0.222,0.285530546624,0.75,0.7
graph,claw,mature,juvenile,0.4,0.222,0.285530546624,0.75,0.7
model,body,juvenile,juvenile,1.0,1.0,1.0,0.75,0.7
model,head,juvenile,juvenile,0.8,0.8,0.8,0.75,0.7
model,claw,juvenile,juvenile,0.625,0.357,0.454429735234,0.75,0.7
model,arm,juvenile,juvenile,0.8,0.5,0.615384615385,0.75,0.7
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.75,0.7
graph,head,juvenile,juvenile,0.8,0.8,0.8,0.75,0.7
graph,claw,juvenile,juvenile,0.625,0.357,0.454429735234,0.75,0.7
graph,arm,juvenile,juvenile,0.778,0.438,0.560467105263,0.75,0.7
model,body,juvenile,mature,1.0,1.0,1.0,0.75,0.7
model,head,juvenile,mature,0.4,0.4,0.4,0.75,0.7
model,claw,juvenile,mature,0.5,0.25,0.333333333333,0.75,0.7
model,arm,juvenile,mature,0.857,0.6,0.705833905285,0.75,0.7
graph,body,juvenile,mature,1.0,1.0,1.0,0.75,0.7
graph,head,juvenile,mature,0.4,0.4,0.4,0.75,0.7
graph,claw,juvenile,mature,0.5,0.25,0.333333333333,0.75,0.7
graph,arm,juvenile,mature,0.857,0.6,0.705833905285,0.75,0.7
model,tail,juvenile,juvenile,1.0,1.0,1.0,0.75,0.7
model,tail,juvenile,mature,1.0,1.0,1.0,0.75,0.7
model,body,mature,mature,1.0,1.0,1.0,0.14,0.7
model,tail,mature,mature,0.833,0.833,0.833,0.14,0.7
model,back,mature,mature,0.333,0.4,0.36343792633,0.14,0.7
model,claw,mature,mature,0.667,0.364,0.470975751697,0.14,0.7
model,arm,mature,mature,0.462,0.5,0.480249480249,0.14,0.7
model,head,mature,mature,0.333,0.333,0.333,0.14,0.7
graph,body,mature,mature,1.0,1.0,1.0,0.14,0.7
graph,tail,mature,mature,0.833,0.833,0.833,0.14,0.7
graph,back,mature,mature,0.556,1.0,0.714652956298,0.14,0.7
graph,claw,mature,mature,0.667,0.364,0.470975751697,0.14,0.7
graph,arm,mature,mature,0.417,0.417,0.417,0.14,0.7
graph,head,mature,mature,0.333,0.333,0.333,0.14,0.7
model,body,mature,juvenile,1.0,1.0,1.0,0.14,0.7
model,tail,mature,juvenile,0.4,0.4,0.4,0.14,0.7
model,back,mature,juvenile,0.111,0.167,0.13335971223,0.14,0.7
model,claw,mature,juvenile,0.625,0.333,0.434498956159,0.14,0.7
model,head,mature,juvenile,0.636,0.7,0.666467065868,0.14,0.7
model,arm,mature,juvenile,0.48,0.6,0.533333333333,0.14,0.7
graph,body,mature,juvenile,1.0,1.0,1.0,0.14,0.7
graph,back,mature,juvenile,0.111,0.167,0.13335971223,0.14,0.7
graph,claw,mature,juvenile,0.429,0.231,0.3003,0.14,0.7
graph,arm,mature,juvenile,0.44,0.55,0.488888888889,0.14,0.7
graph,head,mature,juvenile,0.8,0.8,0.8,0.14,0.7
graph,tail,mature,juvenile,0.5,0.5,0.5,0.14,0.7
model,body,juvenile,mature,1.0,1.0,1.0,0.14,0.7
model,tail,juvenile,mature,0.75,0.75,0.75,0.14,0.7
model,claw,juvenile,mature,0.25,0.143,0.181933842239,0.14,0.7
model,head,juvenile,mature,0.333,0.333,0.333,0.14,0.7
model,arm,juvenile,mature,0.667,0.5,0.571550985433,0.14,0.7
graph,back,juvenile,mature,0.0,0.0,0,0.14,0.7
graph,body,juvenile,mature,1.0,1.0,1.0,0.14,0.7
graph,head,juvenile,mature,0.333,0.333,0.333,0.14,0.7
graph,tail,juvenile,mature,0.0,0.0,0,0.14,0.7
model,body,juvenile,juvenile,1.0,1.0,1.0,0.14,0.7
model,tail,juvenile,juvenile,0.889,0.889,0.889,0.14,0.7
model,back,juvenile,juvenile,0.75,0.75,0.75,0.14,0.7
model,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.14,0.7
model,head,juvenile,juvenile,0.9,0.9,0.9,0.14,0.7
model,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.14,0.7
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.14,0.7
graph,tail,juvenile,juvenile,0.857,0.857,0.857,0.14,0.7
graph,back,juvenile,juvenile,0.625,1.0,0.769230769231,0.14,0.7
graph,claw,juvenile,juvenile,1.0,0.563,0.72040946897,0.14,0.7
graph,head,juvenile,juvenile,0.9,0.9,0.9,0.14,0.7
graph,arm,juvenile,juvenile,1.0,0.65,0.787878787879,0.14,0.7
graph,arm,juvenile,mature,0.75,0.6,0.666666666667,0.14,0.7
graph,claw,juvenile,mature,0.667,0.4,0.500093720712,0.14,0.7
model,back,juvenile,mature,0.0,0.0,0,0.14,0.7
model,claw,mature,juvenile,0.5,0.273,0.353169469599,0.55,0.5
model,body,mature,juvenile,1.0,1.0,1.0,0.55,0.5
model,arm,mature,juvenile,0.7,0.5,0.583333333333,0.55,0.5
graph,claw,mature,juvenile,0.5,0.273,0.353169469599,0.55,0.5
graph,body,mature,juvenile,1.0,1.0,1.0,0.55,0.5
graph,arm,mature,juvenile,0.7,0.5,0.583333333333,0.55,0.5
model,body,mature,mature,1.0,1.0,1.0,0.55,0.5
model,claw,mature,mature,0.8,0.444,0.571061093248,0.55,0.5
model,arm,mature,mature,0.8,0.4,0.533333333333,0.55,0.5
graph,claw,mature,mature,0.8,0.444,0.571061093248,0.55,0.5
graph,body,mature,mature,1.0,1.0,1.0,0.55,0.5
graph,arm,mature,mature,0.8,0.4,0.533333333333,0.55,0.5
model,tail,juvenile,juvenile,1.0,1.0,1.0,0.55,0.5
model,claw,juvenile,juvenile,0.75,0.429,0.545801526718,0.55,0.5
model,body,juvenile,juvenile,1.0,1.0,1.0,0.55,0.5
model,arm,juvenile,juvenile,0.9,0.563,0.692686261107,0.55,0.5
model,head,juvenile,juvenile,1.0,1.0,1.0,0.55,0.5
graph,head,juvenile,juvenile,1.0,1.0,1.0,0.55,0.5
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.55,0.5
graph,claw,juvenile,juvenile,0.75,0.429,0.545801526718,0.55,0.5
graph,arm,juvenile,juvenile,0.9,0.563,0.692686261107,0.55,0.5
model,head,juvenile,mature,0.4,0.4,0.4,0.55,0.5
model,claw,juvenile,mature,0.5,0.25,0.333333333333,0.55,0.5
model,body,juvenile,mature,1.0,1.0,1.0,0.55,0.5
model,arm,juvenile,mature,0.857,0.6,0.705833905285,0.55,0.5
graph,head,juvenile,mature,0.4,0.4,0.4,0.55,0.5
graph,body,juvenile,mature,1.0,1.0,1.0,0.55,0.5
graph,claw,juvenile,mature,0.5,0.25,0.333333333333,0.55,0.5
graph,arm,juvenile,mature,0.857,0.6,0.705833905285,0.55,0.5
model,tail,juvenile,mature,1.0,1.0,1.0,0.55,0.5
